
================ Toxicity Prediction Run ================
inputFile               : BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (651810, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 1 | processed unique SMILES: 1000/651810 | new selected: 781 | total selected: 781
Diversity chunk 2 | processed unique SMILES: 2000/651810 | new selected: 810 | total selected: 1591
Diversity chunk 3 | processed unique SMILES: 3000/651810 | new selected: 712 | total selected: 2303
Diversity chunk 4 | processed unique SMILES: 4000/651810 | new selected: 616 | total selected: 2919
Diversity chunk 5 | processed unique SMILES: 5000/651810 | new selected: 667 | total selected: 3586
Diversity chunk 6 | processed unique SMILES: 6000/651810 | new selected: 676 | total selected: 4262
Diversity chunk 7 | processed unique SMILES: 7000/651810 | new selected: 707 | total selected: 4969
Diversity chunk 8 | processed unique SMILES: 8000/651810 | new selected: 650 | total selected: 5619
Diversity chunk 9 | processed unique SMILES: 9000/651810 | new selected: 543 | total selected: 6162
Diversity chunk 10 | processed unique SMILES: 10000/651810 | new selected: 0 | total selected: 6162
Diversity chunk 11 | processed unique SMILES: 11000/651810 | new selected: 0 | total selected: 6162
Diversity chunk 12 | processed unique SMILES: 12000/651810 | new selected: 0 | total selected: 6162
Diversity chunk 13 | processed unique SMILES: 13000/651810 | new selected: 0 | total selected: 6162
Diversity chunk 14 | processed unique SMILES: 14000/651810 | new selected: 268 | total selected: 6430
Diversity chunk 15 | processed unique SMILES: 15000/651810 | new selected: 501 | total selected: 6931
Diversity chunk 16 | processed unique SMILES: 16000/651810 | new selected: 559 | total selected: 7490
Diversity chunk 17 | processed unique SMILES: 17000/651810 | new selected: 431 | total selected: 7921
Diversity chunk 18 | processed unique SMILES: 18000/651810 | new selected: 347 | total selected: 8268
