
================ Toxicity Prediction Run ================
inputFile               : combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (1989633, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 1 | processed unique SMILES: 1000/1989633 | new selected: 574 | total selected: 574
Diversity chunk 2 | processed unique SMILES: 2000/1989633 | new selected: 604 | total selected: 1178
Diversity chunk 3 | processed unique SMILES: 3000/1989633 | new selected: 535 | total selected: 1713
Diversity chunk 4 | processed unique SMILES: 4000/1989633 | new selected: 316 | total selected: 2029
Diversity chunk 5 | processed unique SMILES: 5000/1989633 | new selected: 335 | total selected: 2364
Diversity chunk 6 | processed unique SMILES: 6000/1989633 | new selected: 419 | total selected: 2783
Diversity chunk 7 | processed unique SMILES: 7000/1989633 | new selected: 132 | total selected: 2915
Diversity chunk 8 | processed unique SMILES: 8000/1989633 | new selected: 357 | total selected: 3272
Diversity chunk 9 | processed unique SMILES: 9000/1989633 | new selected: 264 | total selected: 3536
Diversity chunk 10 | processed unique SMILES: 10000/1989633 | new selected: 325 | total selected: 3861
Diversity chunk 11 | processed unique SMILES: 11000/1989633 | new selected: 283 | total selected: 4144
Diversity chunk 12 | processed unique SMILES: 12000/1989633 | new selected: 240 | total selected: 4384
Diversity chunk 13 | processed unique SMILES: 13000/1989633 | new selected: 241 | total selected: 4625
Diversity chunk 14 | processed unique SMILES: 14000/1989633 | new selected: 253 | total selected: 4878
Diversity chunk 15 | processed unique SMILES: 15000/1989633 | new selected: 443 | total selected: 5321
Diversity chunk 16 | processed unique SMILES: 16000/1989633 | new selected: 353 | total selected: 5674
Diversity chunk 17 | processed unique SMILES: 17000/1989633 | new selected: 222 | total selected: 5896
Diversity chunk 18 | processed unique SMILES: 18000/1989633 | new selected: 276 | total selected: 6172
Diversity chunk 19 | processed unique SMILES: 19000/1989633 | new selected: 105 | total selected: 6277
Diversity chunk 20 | processed unique SMILES: 20000/1989633 | new selected: 264 | total selected: 6541
Diversity chunk 21 | processed unique SMILES: 21000/1989633 | new selected: 369 | total selected: 6910
Diversity chunk 22 | processed unique SMILES: 22000/1989633 | new selected: 304 | total selected: 7214
Diversity chunk 23 | processed unique SMILES: 23000/1989633 | new selected: 279 | total selected: 7493
Diversity chunk 24 | processed unique SMILES: 24000/1989633 | new selected: 341 | total selected: 7834
