iter	RMSE
0	2.556464756
1	2.528356509
2	2.507086651
3	2.486159817
4	2.468932606
5	2.456333909
6	2.442651746
7	2.429381306
8	2.418864252
9	2.408131537
10	2.399035864
11	2.391374936
12	2.382684298
13	2.375853084
14	2.370336068
15	2.364575637
16	2.358477776
17	2.352560562
18	2.345555144
19	2.340659377
20	2.334242856
21	2.328961253
22	2.324605511
23	2.318319562
24	2.314221161
25	2.310218666
26	2.306756762
27	2.303557149
28	2.299680784
29	2.297370915
30	2.294203647
31	2.291456614
32	2.288725953
33	2.286629318
34	2.283628671
35	2.281513439
36	2.278734928
37	2.276086411
38	2.272211023
39	2.268733865
40	2.265208518
41	2.263106988
42	2.260697168
43	2.258169353
44	2.255612121
45	2.253444381
46	2.251702226
47	2.24899804
48	2.246250936
49	2.244078043
50	2.242051657
51	2.240121272
52	2.238391153
53	2.235559506
54	2.234076238
55	2.231753605
56	2.230467227
57	2.22882112
58	2.226341526
59	2.22469889
60	2.22307857
61	2.221144268
62	2.219390314
63	2.217753569
64	2.215007284
65	2.212831794
66	2.210518384
67	2.208993783
68	2.207003081
69	2.205561056
70	2.202370679
71	2.200482402
72	2.198585599
73	2.19671441
74	2.195282213
75	2.193964269
76	2.192002383
77	2.190800409
78	2.189687339
79	2.187107019
80	2.18507068
81	2.183204953
82	2.181409757
83	2.180341373
84	2.17903654
85	2.177572528
86	2.176442207
87	2.174749807
88	2.172648687
89	2.170822977
90	2.16986581
91	2.168235727
92	2.16672811
93	2.165355113
94	2.163800973
95	2.162779044
96	2.161315485
97	2.16005678
98	2.158517604
99	2.156993985
100	2.155938387
101	2.154706469
102	2.153441644
103	2.151861768
104	2.150843191
105	2.149832172
106	2.147994902
107	2.146832829
108	2.145791165
109	2.144634211
110	2.14357908
111	2.141921269
112	2.140759427
113	2.139152876
114	2.138077676
115	2.137363356
116	2.135553922
117	2.133966925
118	2.132830534
119	2.131453541
120	2.130015248
121	2.129151415
122	2.127627178
123	2.126503807
124	2.125799774
125	2.124294953
126	2.123607185
127	2.122080962
128	2.120972833
129	2.119789777
130	2.11788382
131	2.117154437
132	2.116006547
133	2.11479259
134	2.113461572
135	2.11203757
136	2.110672371
137	2.109662311
138	2.108471466
139	2.107645109
140	2.106764594
141	2.10557747
142	2.104445053
143	2.103116507
144	2.102057097
145	2.100803187
146	2.099527105
147	2.098432242
148	2.097205464
149	2.096084557
150	2.09511906
151	2.094068879
152	2.093029236
153	2.092332622
154	2.091566947
155	2.090362313
156	2.088924339
157	2.088039903
158	2.087081318
159	2.086376607
160	2.085420936
161	2.083972895
162	2.083081583
163	2.082484157
164	2.081479276
165	2.080437483
166	2.079490505
167	2.078830416
168	2.077714192
169	2.076423505
170	2.075012877
171	2.073413583
172	2.072076814
173	2.07094886
174	2.069894818
175	2.068989143
176	2.067973315
177	2.06699421
178	2.065711519
179	2.065029599
180	2.064199432
181	2.063192479
182	2.062454816
183	2.0616719
184	2.060926539
185	2.059618571
186	2.058494192
187	2.057592052
188	2.056676724
189	2.055134248
190	2.054282774
191	2.053434516
192	2.052085388
193	2.051365962
194	2.050385977
195	2.049096819
196	2.047825944
197	2.046851393
198	2.046259372
199	2.045406719
