iter	Passed	Remaining
0	27	5562
1	56	5574
2	83	5492
3	112	5489
4	138	5416
5	165	5343
6	193	5331
7	220	5299
8	248	5267
9	275	5239
10	302	5200
11	329	5165
12	356	5133
13	383	5095
14	410	5057
15	436	5015
16	463	4988
17	489	4946
18	516	4921
19	543	4890
20	570	4859
21	597	4834
22	624	4805
23	651	4775
24	676	4738
25	703	4710
26	729	4676
27	755	4642
28	783	4617
29	808	4584
30	835	4553
31	861	4524
32	887	4492
33	912	4456
34	939	4430
35	965	4396
36	990	4365
37	1017	4338
38	1044	4310
39	1070	4282
40	1097	4254
41	1123	4225
42	1149	4196
43	1176	4170
44	1202	4142
45	1228	4112
46	1253	4080
47	1280	4053
48	1305	4024
49	1331	3993
50	1356	3964
51	1381	3930
52	1396	3874
53	1412	3818
54	1427	3762
55	1442	3709
56	1457	3656
57	1472	3604
58	1487	3554
59	1502	3505
60	1517	3457
61	1532	3410
62	1547	3364
63	1561	3318
64	1577	3276
65	1592	3233
66	1608	3192
67	1622	3150
68	1637	3109
69	1653	3070
70	1669	3032
71	1683	2993
72	1699	2955
73	1713	2918
74	1728	2881
75	1743	2844
76	1758	2808
77	1773	2773
78	1788	2738
79	1803	2704
80	1818	2671
81	1833	2638
82	1849	2606
83	1864	2574
84	1879	2542
85	1894	2511
86	1910	2480
87	1925	2450
88	1940	2420
89	1955	2390
90	1970	2360
91	1985	2331
92	2000	2302
93	2015	2273
94	2030	2244
95	2045	2216
96	2060	2188
97	2075	2160
98	2091	2133
99	2106	2106
100	2121	2079
101	2136	2052
102	2151	2025
103	2166	1999
104	2181	1973
105	2196	1948
106	2212	1922
107	2227	1897
108	2242	1872
109	2257	1847
110	2272	1822
111	2288	1798
112	2303	1773
113	2318	1749
114	2333	1724
115	2347	1700
116	2363	1676
117	2378	1653
118	2394	1629
119	2408	1605
120	2423	1582
121	2439	1559
122	2454	1536
123	2469	1513
124	2483	1490
125	2498	1467
126	2512	1444
127	2528	1422
128	2543	1399
129	2557	1377
130	2573	1355
131	2588	1333
132	2602	1311
133	2617	1289
134	2633	1267
135	2648	1246
136	2663	1225
137	2678	1203
138	2693	1182
139	2708	1160
140	2722	1139
141	2738	1118
142	2753	1097
143	2768	1076
144	2783	1055
145	2798	1035
146	2813	1014
147	2829	994
148	2843	973
149	2858	952
150	2873	932
151	2888	912
152	2904	892
153	2918	871
154	2933	851
155	2948	831
156	2963	811
157	2978	791
158	2993	771
159	3008	752
160	3023	732
161	3038	712
162	3053	693
163	3068	673
164	3083	653
165	3098	634
166	3114	615
167	3129	596
168	3146	577
169	3161	557
170	3177	538
171	3193	519
172	3208	500
173	3223	481
174	3238	462
175	3253	443
176	3268	424
177	3283	405
178	3298	387
179	3313	368
180	3329	349
181	3344	330
182	3358	311
183	3373	293
184	3388	274
185	3403	256
186	3418	237
187	3433	219
188	3449	200
189	3464	182
190	3479	163
191	3494	145
192	3510	127
193	3525	109
194	3540	90
195	3556	72
196	3571	54
197	3586	36
198	3601	18
199	3616	0
